,,Notes,PDG Archive,PDG Rust,PDG Snow,PDG Detritus
,Mission_Reactivation_Briefing,"""Reactivation"" is a misnomer at this point. Field of battle is full of enemy units incased in ice, every turn more units come out of the ice. No special objective, just a straight battle.",,,"""Quand j'ai perdu le contrôle de mes processus environnementaux, des centaines de Vek et de machines ont été gelés. Dès que les conditions météorologiques redeviendront à la normale, ces dangers sont libérés."",",
,Mission_Reactivation_Success,(Generic success),,,"""Après avoir subi de telles températures extrêmes, ces machines n'étaient plus elles-mêmes ; les tuer est devenue une nécessité pour sauver plus de vie. Enfin, j'espère."",",
,,,,,,
,Mission_SnowBattle_Briefing,"Generic battle, but the map has 2 hostile robots on it to start. No special objectives.

Comments like ""it's too bad you'll have to kill these bots"" would be appropriate.",,,"""Je ne peux pas vous laisser de tuer les machines hostiles de cette région, mais je reconnais que leur menace est trop grande pour être ignorée."",",
,Mission_SnowBattle_Success,(Generic success),,,"""Cela ne ressemble pas à une victoire quand la bataille est menée contre des individus malades issus de votre propre population."",",
,,,,,,
,Mission_Stasis_Briefing,"Generic battle, but the map has 2 FROZEN abnormally dangerous robots on it. Player should be encouraged to avoid freeing the robots, though they are not penalized so it shouldn't sound like an objective.",,,"""Diagnostique de la Menace : Je vous recommande de les éviter.""",
,Mission_Stasis_Success,(Generic success),,,"""Les Veks sont déjà assez puissant pour menacer notre survie à tous. Je suis désolé que mes semblables malades vous fournissent des complications supplémentaires."",",
,,,,,,
,Mission_FreezeMines_Briefing,"Generic battle, but the map is full of mines that freeze the enemy.",,,"""Je calcule qu'il y a encore trois cent soixante-treize cryo-mines dans cette zone destinées à la pacification de machines hostiles. Gardez vos capteurs en alerte maximale."",",
,Mission_FreezeMines_Success,(Generic success),,,"""Laissez tout ce que les cryo-mines ont gelé à mes droïdes de nettoyage. Je vais consacrer le temps qu'il faudra pour m'assurer à ce que tout cela soit en toute sécurité."",",
,,,,,,
,Mission_FreezeBldg_Briefing,Every building is frozen in ice at mission start. Player is tasked to free at least 5 buildings from the ice.,,,"""Un de mes processus environnementaux est défaillant, et le résultat a été qu'une ville entière a été enfermée dans la glace. Les vies à l'intérieur sont toujours fonctionnelles - mais elles mourront si elles ne sont pas libérées à temps."",",
,Mission_FreezeBldg_Success,,,,"""Les occupants ne devraient pas avoir de séquelles. Et mon moniteur environnemental fonctionne normalement à nouveau."",",
,Mission_FreezeBldg_Failure,"Too many buildings still in ice
",,,"""Ces bâtiments sont maintenant des tombes glacées à la fois pour la vie mécanique et biologique. Nous les libérerons après la guerre et nous les enterrerons avec respect."",",
,,,,,,
,Mission_SnowStorm_Briefing,Generic mission. Snow Storm will periodically freeze large sections of the map in ice during the mission.,,,"""La station de refroidissement locale a explosé, libérant des tempêtes de cryo-nanites dans l'atmosphère. Évitez-les ou vos Mechs seront gelés."",",
,Mission_SnowStorm_Success,(generic success),,,"""C'est bon de vous voir décongelé. Je travaille pour contenir les cryo-nanites, et les tempêtes dans la région ont déjà cessé."",",
,,,,,,
Detritus Missions,Mission_Barrels_Briefing,Large Vats of A.C.I.D. need to be destroyed. (Unstable? Create traps for Vek? Any reason really),,,,"""Une ruche Vek se trouve directement sous les réservoirs d'élimination des déchets dans cette région. Faites exploser les cuves, et l'écoulement chimique détruira la ruche."",

""Les cuves dans cette région contiennent des produits chimiques toxiques pour les Veks - brisez-les et les Veks quitteront le secteur."","
,Mission_Barrels_Failure,Not enough vats destroyed,,,,"""Malheureusement, pas assez de produits chimiques ont été déversés dans le sol - les Veks sont vivants dans le secteur."",

""L'invasion Vek a été ralentie, mais pas assez de cuves ne furent détruites pour les arrêter complètement. Malheureusement, il n'y a plus rien à faire."","
,Mission_Barrels_Success,All vats destroyed,,,,"""100% des cuves ont été détruites et les produits chimiques ont été libérés. Nos capteurs détectent déjà une activité Vek réduite dans la région."","
,,,,,,
,Mission_Disposal_Briefing,Play uses Disposal Unit (needs a name) -- It launches a A.C.I.D. projectile that immediately desolves a large area. The player must use it to melt all mountains on the map. (For the resources? Because Vek are in them?),,,,"""Les ruches Vek infestent les montagnes dans ce secteur. Un lanceur d'A.C.I.D.est stationné dans la région - défendez-le pendant qu'il détruit la chaîne de montagnes."",

""Nous avons besoin de #squad pour défendre ce lanceur d'A.C.I.D. pendant qu'il dissout les ruches Vek infestant les montagnes."","
,Mission_Disposal_Failure,Disposal unit destroyed + Mountains remain,,,,"""Décevant - le lanceur et son équipage sont morts, tandis que les ruches Veks ont survécu. Nous devrons abandonner le secteur."",

""Le lanceur d'A.C.I.D. a été détruit, avec son équipage. Je vais informer les familles personnellement, et mettre le secteur en quarantaine."","
,Mission_Disposal_Mountains,Mountains remain,,,,"""Les ruches Vek ont survécu. Les capteurs indiquent qu'elles sont en train de procréer de nouveaux Vek. Nous devrons abandonner le secteur avant qu'ils ne nous envahissent."", 

""Le lanceur est toujours actif, mais les ruches dans les montagnes ont survécu. Les capteurs indiquent que les Vek envahissent la région - nous devons nous retirer."","
,Mission_Disposal_Disposal,Disposal Unit dead,,,,"""Le lanceur d'A.C.I.D.a été détruit avec son équipage - mais leur sacrifice n'a pas été vain. Les ruches Vek ont été éradiquées."""
,Mission_Disposal_Success,"Disposal Unit Survives, Mountains destroyed",,,,"""Votre mission a été un succès, commandant - Le lanceur d'A.C.I.D.est intact et les Veks ont été désintégrés."","
,,,,,,
,Mission_AcidTank_Briefing,Player controls an A.C.I.D. tank (needs name?) for the mission. It applies A.C.I.D. to units. Mission is to destroy Vek that have the A.C.I.D. applied (so the A.C.I.D. has a chance to recycle the corpses?),,,,"""Detritus a déployé un tank A.C.I.D. dans ce secteur pour #squad - utilisez-le pour étudier les effets de A.C.I.D. sur les Veks."",

""Un tank A.C.I.D. a été déployé dans ce secteur. Tuez tous les Veks touchés par ce tank, puis sécurisez le secteur pour pouvoir étudier les cadavres Vek."","
,Mission_AcidTank_Failure,Not enough units with acid killed,,,,"""Trop de Vek ont échappé aux tests à l'A.C.I.D. - nous n'avons pas assez de cadavres Vek pour effectuer une analyse correcte."""
,Mission_AcidTank_Success,4 Vek with Acid killed,,,,"""C'est un succès, Commandant - avec votre aide, nous avons obtenu un nombre suffisant de cadavres Vek infectés par de l'A.C.I.D."","
,,,,,,
,Mission_Acid_Briefing,"Normal battle, but Vek are jumping out of the ACID pools to attack. They have ACID pre-applied to them as a game effect. (They're adapting? They can live surprisingly long with it?)",,,,"""Ces mares d'A.C.I.D. ont été touchées par les Veks, mais les Vek semblent... s'adapter aux produits chimiques. Nous devons arrêter les Veks avant qu'ils soient immunisés."",

""Ce secteur comporte plusieurs lacs d'A.C.I.D. Les Veks semblent les utiliser comme des routes pour atteindre la surface."","
,Mission_Acid_Success,(Generic success),,,,"""Vous devez être félicité #squad - les capteurs confirment que les Veks ont été repoussés. Le secteur est à nouveau le nôtre."","
,,,,,,
,Mission_Power_Briefing,Power plants need to be defended (two on the map),,,,"""Ce secteur a deux installations d'alimentation en Énergie qui alimentent de nombreuses usines de Detritus. Ces installations sont essentielles aux défenses de Detritus."",

""Les centrales électriques dans ce secteur sont critiques contre les Veks, Commandant. Si nous les perdons, nous pourrions également perdre Detritus."","
,Mission_Power_Success,Power plants both alive,,,,"""Les deux centrales ont été mise en fonctionnement, et il n'y a pas eu de perturbation dans le Réseau d'Énergie. Vous et vos pilotes avez notre gratitude, Commandant."","
,Mission_Power_Partial,One Power Plant destroyed,,,,"""Un des deux centrales a été détruite, et il n'y a pas eu de perturbation dans le Réseau d'Énergie. Vous et vos pilotes avez notre gratitude, commandant."","
,Mission_Power_Failure,Both Power Plants destroyed,,,,"""La perte des deux centrales a non seulement mis hors courant nos installations mais également des centres de réfugiés. Je dois relocaliser ces gens immédiatement."","
,,,,,,
,Mission_Belt_Briefing,"Normal battle, but the map has massive conveyor belts that push the units around. (Normally used for transporting waste and recycling? Used for transportation of civilians?)",,,,"""Normalement, nous utilisons ces convoyeurs à bande pour transporter les cuves de rebut - mais vous et #squad pouvez les utiliser contre le Veks."","
,Mission_Belt_Success,(Generic success),,,,"La chaine de transport est sécurisée. Merci, commandant - nous n'avions pas pensé à utiliser les convoyeurs à bande à titre militaire."","
,,,,,,
,Mission_Teleporter_Briefing,"Normal battle, but the map has teleporter spaces that can warp units between different spaces on the map. (Again, why? Transport of waste/people/tech/etc?)",,,,"""C'est l'un de nos sites téléporteurs - il transporte les déchets en démontant et en réassemblant la matière. Vous pourriez être en mesure d'utiliser ces téléporteurs contre les Veks."", 

""Alors que la téléportation de biomatériaux est interdite par les Accords Corporatifs, je peux faire une exception pour vous - et les Veks."",

""Les téléporteurs d'élimination des déchets sont actifs dans ce secteur, construits pour désassembler et transporter les déchets. Vous pouvez les utiliser contre les Veks."","
,Mission_Teleporter_Success,(Generic success),,,,"""Le site de téléportation est à nous - nous continuerons à utiliser ces téléporteurs contre les Veks si besoin."",

""Le site est de nouveau sous notre contrôle - et suivant votre exemple, nous pouvons utiliser les téléporteurs contre les Veks s'ils attaquent à nouveau."","
